UID          PID    PPID     LWP  C NLWP    SZ   RSS PSR STIME TTY          TIME CMD
root          91       2      91  0    1     0     0   4 18:27 ?        00:00:00 [irq/32-pciehp]
root          92       2      92  0    1     0     0   5 18:27 ?        00:00:00 [irq/33-pciehp]
root          93       2      93  0    1     0     0   0 18:27 ?        00:00:00 [irq/34-pciehp]
root          94       2      94  0    1     0     0   1 18:27 ?        00:00:00 [irq/35-pciehp]
root          95       2      95  0    1     0     0   2 18:27 ?        00:00:00 [irq/36-pciehp]
root          96       2      96  0    1     0     0   3 18:27 ?        00:00:00 [irq/37-pciehp]
root          97       2      97  0    1     0     0   4 18:27 ?        00:00:00 [irq/38-pciehp]
root          98       2      98  0    1     0     0   5 18:27 ?        00:00:00 [irq/39-pciehp]
root          99       2      99  0    1     0     0   0 18:27 ?        00:00:00 [irq/40-pciehp]
root         100       2     100  0    1     0     0   1 18:27 ?        00:00:00 [irq/41-pciehp]
root         101       2     101  0    1     0     0   2 18:27 ?        00:00:00 [irq/42-pciehp]
root         102       2     102  0    1     0     0   3 18:27 ?        00:00:00 [irq/43-pciehp]
root         103       2     103  0    1     0     0   4 18:27 ?        00:00:00 [irq/44-pciehp]
root         104       2     104  0    1     0     0   5 18:27 ?        00:00:00 [irq/45-pciehp]
root         105       2     105  0    1     0     0   0 18:27 ?        00:00:00 [irq/46-pciehp]
root         106       2     106  0    1     0     0   1 18:27 ?        00:00:00 [irq/47-pciehp]
root         107       2     107  0    1     0     0   2 18:27 ?        00:00:00 [irq/48-pciehp]
root         108       2     108  0    1     0     0   3 18:27 ?        00:00:00 [irq/49-pciehp]
root         109       2     109  0    1     0     0   4 18:27 ?        00:00:00 [irq/50-pciehp]
root         110       2     110  0    1     0     0   5 18:27 ?        00:00:00 [irq/51-pciehp]
root         111       2     111  0    1     0     0   0 18:27 ?        00:00:00 [irq/52-pciehp]
root         112       2     112  0    1     0     0   1 18:27 ?        00:00:00 [irq/53-pciehp]
root         113       2     113  0    1     0     0   2 18:27 ?        00:00:00 [irq/54-pciehp]
root         114       2     114  0    1     0     0   3 18:27 ?        00:00:00 [irq/55-pciehp]
root         115       2     115  0    1     0     0   5 18:27 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         116       2     116  0    1     0     0   4 18:27 ?        00:00:00 [scsi_eh_0]
root         117       2     117  0    1     0     0   5 18:27 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         118       2     118  0    1     0     0   5 18:27 ?        00:00:00 [scsi_eh_1]
root         119       2     119  0    1     0     0   5 18:27 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         122       2     122  0    1     0     0   3 18:27 ?        00:00:00 [kworker/R-mld]
root         123       2     123  0    1     0     0   2 18:27 ?        00:00:04 [kworker/2:1H-kblockd]
root         124       2     124  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         131       2     131  0    1     0     0   2 18:27 ?        00:00:00 [kworker/R-kstrp]
root         132       2     132  0    1     0     0   5 18:27 ?        00:00:00 [kworker/5:1-cgroup_destroy]
root         134       2     134  0    1     0     0   0 18:27 ?        00:00:00 [kworker/u513:0-ttm]
root         147       2     147  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-charger_manager]
root         148       2     148  0    1     0     0   2 18:27 ?        00:00:00 [kworker/2:2-mm_percpu_wq]
root         174       2     174  0    1     0     0   1 18:27 ?        00:00:05 [kworker/1:1H-kblockd]
root         204       2     204  0    1     0     0   3 18:27 ?        00:00:05 [kworker/3:1H-kblockd]
root         206       2     206  0    1     0     0   4 18:27 ?        00:00:04 [kworker/4:1H-kblockd]
root         208       2     208  0    1     0     0   5 18:27 ?        00:00:00 [kworker/5:2-cgroup_destroy]
root         209       2     209  0    1     0     0   3 18:27 ?        00:00:00 [kworker/R-mpt_poll_0]
root         210       2     210  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-mpt/0]
root         226       2     226  0    1     0     0   2 18:27 ?        00:00:00 [scsi_eh_2]
root         227       2     227  0    1     0     0   2 18:27 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         228       2     228  0    1     0     0   4 18:27 ?        00:00:00 [scsi_eh_3]
root         229       2     229  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_3]
root         230       2     230  0    1     0     0   0 18:27 ?        00:00:00 [scsi_eh_4]
root         231       2     231  0    1     0     0   5 18:27 ?        00:00:00 [kworker/R-scsi_tmf_4]
root         232       2     232  0    1     0     0   1 18:27 ?        00:00:00 [scsi_eh_5]
root         233       2     233  0    1     0     0   1 18:27 ?        00:00:00 [kworker/R-scsi_tmf_5]
root         234       2     234  0    1     0     0   1 18:27 ?        00:00:00 [scsi_eh_6]
root         235       2     235  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_6]
root         236       2     236  0    1     0     0   0 18:27 ?        00:00:00 [scsi_eh_7]
root         237       2     237  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_7]
root         238       2     238  0    1     0     0   1 18:27 ?        00:00:00 [scsi_eh_8]
root         239       2     239  0    1     0     0   2 18:27 ?        00:00:00 [kworker/R-scsi_tmf_8]
root         240       2     240  0    1     0     0   0 18:27 ?        00:00:00 [scsi_eh_9]
root         241       2     241  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_9]
root         242       2     242  0    1     0     0   5 18:27 ?        00:00:00 [scsi_eh_10]
root         243       2     243  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_10]
root         244       2     244  0    1     0     0   2 18:27 ?        00:00:00 [scsi_eh_11]
root         245       2     245  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_11]
root         246       2     246  0    1     0     0   0 18:27 ?        00:00:00 [scsi_eh_12]
root         247       2     247  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_12]
root         248       2     248  0    1     0     0   2 18:27 ?        00:00:00 [scsi_eh_13]
root         249       2     249  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_13]
root         250       2     250  0    1     0     0   1 18:27 ?        00:00:00 [scsi_eh_14]
root         251       2     251  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_14]
root         252       2     252  0    1     0     0   3 18:27 ?        00:00:00 [scsi_eh_15]
root         253       2     253  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_15]
root         254       2     254  0    1     0     0   5 18:27 ?        00:00:00 [scsi_eh_16]
root         255       2     255  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_16]
root         256       2     256  0    1     0     0   0 18:27 ?        00:00:00 [scsi_eh_17]
root         257       2     257  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_17]
root         258       2     258  0    1     0     0   1 18:27 ?        00:00:00 [scsi_eh_18]
root         259       2     259  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_18]
root         260       2     260  0    1     0     0   3 18:27 ?        00:00:00 [scsi_eh_19]
root         261       2     261  0    1     0     0   4 18:27 ?        00:00:00 [kworker/R-scsi_tmf_19]
root         262       2     262  0    1     0     0   5 18:27 ?        00:00:00 [scsi_eh_20]
root         263       2     263  0    1     0     0   3 18:27 ?        00:00:00 [kworker/R-scsi_tmf_20]
root         264       2     264  0    1     0     0   0 18:27 ?        00:00:00 [scsi_eh_21]
root         265       2     265  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_21]
root         266       2     266  0    1     0     0   3 18:27 ?        00:00:00 [scsi_eh_22]
root         267       2     267  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_22]
root         268       2     268  0    1     0     0   4 18:27 ?        00:00:00 [scsi_eh_23]
root         269       2     269  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_23]
root         270       2     270  0    1     0     0   2 18:27 ?        00:00:00 [scsi_eh_24]
root         271       2     271  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_24]
root         272       2     272  0    1     0     0   2 18:27 ?        00:00:00 [scsi_eh_25]
root         273       2     273  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_25]
root         274       2     274  0    1     0     0   3 18:27 ?        00:00:00 [scsi_eh_26]
root         275       2     275  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_26]
root         276       2     276  0    1     0     0   4 18:27 ?        00:00:00 [scsi_eh_27]
root         277       2     277  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_27]
root         278       2     278  0    1     0     0   4 18:27 ?        00:00:00 [scsi_eh_28]
root         279       2     279  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-scsi_tmf_28]
root         280       2     280  0    1     0     0   5 18:27 ?        00:00:00 [scsi_eh_29]
root         281       2     281  0    1     0     0   3 18:27 ?        00:00:00 [kworker/R-scsi_tmf_29]
root         282       2     282  0    1     0     0   3 18:27 ?        00:00:00 [scsi_eh_30]
root         283       2     283  0    1     0     0   2 18:27 ?        00:00:00 [kworker/R-scsi_tmf_30]
root         284       2     284  0    1     0     0   3 18:27 ?        00:00:00 [scsi_eh_31]
root         285       2     285  0    1     0     0   2 18:27 ?        00:00:00 [kworker/R-scsi_tmf_31]
root         286       2     286  0    1     0     0   4 18:27 ?        00:00:00 [scsi_eh_32]
root         287       2     287  0    1     0     0   3 18:27 ?        00:00:00 [kworker/R-scsi_tmf_32]
root         358       2     358  0    1     0     0   5 18:27 ?        00:00:00 [jbd2/sda2-8]
root         359       2     359  0    1     0     0   1 18:27 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         407       2     407  0    1     0     0   1 18:27 ?        00:00:00 [irq/57-vmw_vmci]
root         408       2     408  0    1     0     0   2 18:27 ?        00:00:00 [irq/58-vmw_vmci]
root         409       2     409  0    1     0     0   3 18:27 ?        00:00:00 [irq/59-vmw_vmci]
root         417       1     417  0    1 14881 20524   1 18:27 ?        00:00:01 /usr/lib/systemd/systemd-journald
systemd+     431       1     431  0    1  4568  7052   0 18:27 ?        00:00:02 /usr/lib/systemd/systemd-oomd
root         458       1     458  0    3 38141  1304   2 18:27 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-
root         458       1     459  0    3 38141  1304   1 18:27 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-
root         458       1     460  0    3 38141  1304   2 18:27 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-
systemd+     461       1     461  0    2 22907  7836   1 18:27 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
systemd+     461       1     472  0    2 22907  7836   0 18:27 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         466       2     466  0    1     0     0   4 18:27 ?        00:00:00 [irq/16-vmwgfx]
root         467       2     467  0    1     0     0   2 18:27 ?        00:00:00 [kworker/R-ttm]
root         468       1     468  0    1  9122 12996   1 18:27 ?        00:00:00 /usr/lib/systemd/systemd-udevd
systemd+     474       1     474  0    1  5832 13308   4 18:27 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         496       2     496  0    1     0     0   3 18:27 ?        00:00:00 [psimon]
root        1099       1    1099  0    1  5978 10316   5 18:27 ?        00:00:00 /usr/bin/VGAuthService
root        1103       1    1103  0    4 29219  9088   4 18:27 ?        00:00:05 /usr/bin/vmtoolsd
root        1103       1    1156  0    4 29219  9088   1 18:27 ?        00:00:00 /usr/bin/vmtoolsd
root        1103       1    1158  0    4 29219  9088   1 18:27 ?        00:00:00 /usr/bin/vmtoolsd
root        1103       1    1159  0    4 29219  9088   4 18:27 ?        00:00:00 /usr/bin/vmtoolsd
root        1470       2    1470  0    1     0     0   0 18:27 ?        00:00:00 [kworker/R-cryptd]
avahi       1501       1    1501  0    1  1699  4100   5 18:27 ?        00:00:00 avahi-daemon: running [skidaims-vm.local]
message+    1502       1    1502  0    1  2937  6680   2 18:27 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfi
gnome-r+    1506       1    1506  0    4 130365 14376  0 18:27 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1506       1    1593  0    4 130365 14376  3 18:27 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1506       1    1594  0    4 130365 14376  4 18:27 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
gnome-r+    1506       1    1599  0    4 130365 14376  0 18:27 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1509       1    1509  0    4 95814 10524   4 18:27 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1509       1    1619  0    4 95814 10524   4 18:27 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1509       1    1620  0    4 95814 10524   2 18:27 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
polkitd     1509       1    1622  0    4 95814 10524   4 18:27 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1518       1    1518  0   13 536265 16496  4 18:27 ?        00:00:01 /usr/lib/snapd/snapd
root        1518       1    1674  0   13 536265 16496  4 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1675  0   13 536265 16496  1 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1676  0   13 536265 16496  4 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1677  0   13 536265 16496  2 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1679  0   13 536265 16496  5 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1783  0   13 536265 16496  2 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1784  0   13 536265 16496  2 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1785  0   13 536265 16496  2 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    1864  0   13 536265 16496  0 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    2024  0   13 536265 16496  5 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    2064  0   13 536265 16496  4 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1518       1    2799  0   13 536265 16496  1 18:27 ?        00:00:00 /usr/lib/snapd/snapd
root        1527       1    1527  0    4 77971  7188   2 18:27 ?        00:00:00 /usr/libexec/accounts-daemon
root        1527       1    1573  0    4 77971  7188   5 18:27 ?        00:00:00 /usr/libexec/accounts-daemon
root        1527       1    1574  0    4 77971  7188   5 18:27 ?        00:00:00 /usr/libexec/accounts-daemon
root        1527       1    1591  0    4 77971  7188   3 18:27 ?        00:00:00 /usr/libexec/accounts-daemon
root        1531       1    1531  0    1  2426  2968   5 18:27 ?        00:00:00 /usr/sbin/cron -f -P
root        1533       1    1533  0    4 77644  7112   1 18:27 ?        00:00:00 /usr/libexec/switcheroo-control
root        1533       1    1552  0    4 77644  7112   1 18:27 ?        00:00:00 /usr/libexec/switcheroo-control
root        1533       1    1554  0    4 77644  7112   2 18:27 ?        00:00:00 /usr/libexec/switcheroo-control
root        1533       1    1588  0    4 77644  7112   5 18:27 ?        00:00:00 /usr/libexec/switcheroo-control
root        1548       1    1548  0    1  4755  9184   2 18:27 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1549       1    1549  0    6 117697 12268  4 18:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1549       1    1568  0    6 117697 12268  1 18:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1549       1    1569  0    6 117697 12268  2 18:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1549       1    1590  0    6 117697 12268  2 18:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1549       1    1651  0    6 117697 12268  1 18:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1549       1    1657  0    6 117697 12268  5 18:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
syslog      1563       1    1563  0    4 55183  5716   0 18:27 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1563       1    1601  0    4 55183  5716   0 18:27 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1563       1    1603  0    4 55183  5716   1 18:27 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog      1563       1    1604  0    4 55183  5716   2 18:27 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
avahi       1567    1501    1567  0    1  1652  1504   2 18:27 ?        00:00:00 avahi-daemon: chroot helper
root        1605       1    1605  0    4 84990 17908   0 18:27 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1605       1    1647  0    4 84990 17908   1 18:27 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1605       1    1649  0    4 84990 17908   2 18:27 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1605       1    1650  0    4 84990 17908   5 18:27 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1607       1    1607  0    1  4604  4776   3 18:27 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant G
root        1641       2    1641  0    1     0     0   3 18:27 ?        00:00:00 [kworker/3:3-cgwb_release]
root        1652       1    1652  0    4 97848 11576   2 18:27 ?        00:00:00 /usr/sbin/ModemManager
root        1652       1    1656  0    4 97848 11576   3 18:27 ?        00:00:00 /usr/sbin/ModemManager
root        1652       1    1658  0    4 97848 11576   5 18:27 ?        00:00:00 /usr/sbin/ModemManager
root        1652       1    1660  0    4 97848 11576   3 18:27 ?        00:00:00 /usr/sbin/ModemManager
root        1737       1    1737  0    1  8157 11400   0 18:27 ?        00:00:00 /usr/sbin/cupsd -l
root        1743       1    1743  0    2 30902 22868   1 18:27 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-
root        1743       1    1766  0    2 30902 22868   4 18:27 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-
lp          1745    1737    1745  0    1  3950  6656   0 18:27 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root        1757       1    1757  0    4 78330  8616   4 18:27 ?        00:00:00 /usr/sbin/gdm3
root        1757       1    1759  0    4 78330  8616   1 18:27 ?        00:00:00 /usr/sbin/gdm3
root        1757       1    1760  0    4 78330  8616   3 18:27 ?        00:00:00 /usr/sbin/gdm3
root        1757       1    1761  0    4 78330  8616   2 18:27 ?        00:00:00 /usr/sbin/gdm3
root        1765    1757    1765  0    4 43853  9796   4 18:27 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
root        1765    1757    1767  0    4 43853  9796   1 18:27 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
root        1765    1757    1768  0    4 43853  9796   0 18:27 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
root        1765    1757    1770  0    4 43853  9796   4 18:27 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
gdm         1773       1    1773  0    1  5686 12920   3 18:27 ?        00:00:00 /usr/lib/systemd/systemd --user
root        1777       2    1777  0    1     0     0   2 18:27 ?        00:00:00 [psimon]
gdm         1778    1773    1778  0    1  5620  3624   0 18:27 ?        00:00:00 (sd-pam)
gdm         1796    1773    1796  0    1  1944  3400   3 18:27 ?        00:00:00 /usr/bin/mpris-proxy
gdm         1797    1773    1797  0    3 26092 11932   2 18:27 ?        00:00:00 /usr/bin/pipewire
gdm         1797    1773    1858  0    3 26092 11932   3 18:27 ?        00:00:00 /usr/bin/pipewire
gdm         1797    1773    1867  0    3 26092 11932   5 18:27 ?        00:00:00 /usr/bin/pipewire
gdm         1802    1773    1802  0    2 21923  5316   5 18:27 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
gdm         1802    1773    1856  0    2 21923  5316   3 18:27 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
gdm         1809    1773    1809  0    6 120690 17576  4 18:27 ?        00:00:00 /usr/bin/wireplumber
gdm         1809    1773    1860  0    6 120690 17576  3 18:27 ?        00:00:00 /usr/bin/wireplumber
gdm         1809    1773    1865  0    6 120690 17576  2 18:27 ?        00:00:00 /usr/bin/wireplumber
gdm         1809    1773    1869  0    6 120690 17576  0 18:27 ?        00:00:00 /usr/bin/wireplumber
gdm         1809    1773    1886  0    6 120690 17576  3 18:27 ?        00:00:00 /usr/bin/wireplumber
gdm         1809    1773    1890  0    6 120690 17576  1 18:27 ?        00:00:00 /usr/bin/wireplumber
gdm         1811    1773    1811  0    3 27293 10256   0 18:27 ?        00:00:00 /usr/bin/pipewire-pulse
gdm         1811    1773    1862  0    3 27293 10256   1 18:27 ?        00:00:00 /usr/bin/pipewire-pulse
gdm         1811    1773    1868  0    3 27293 10256   1 18:27 ?        00:00:00 /usr/bin/pipewire-pulse
gdm         1814    1773    1814  0    1  2201  4528   4 18:27 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork 
gdm         1824    1765    1824  0    4 42720  6080   0 18:27 tty1     00:00:00 /usr/libexec/gdm-wayland-session dbus-run-session -- gnome-
gdm         1824    1765    1834  0    4 42720  6080   2 18:27 tty1     00:00:00 /usr/libexec/gdm-wayland-session dbus-run-session -- gnome-
